M412,平吉上苑
高峰专线32,坪洲地铁站
M208,塘坑地铁站
假日专线1,宝安中心站②
M246,上川地铁站
B977,凤凰城地铁站
M183,深大地铁站
N3,兴华宾馆东公交站
111,莲塘口岸②
M554,科苑地铁站
237,西丽社区②(往北)
M434,龙田路口
M247环线,华丰工业区公交站①
M229,康乐学校
923,大运地铁站①
高峰专线8,坪山火车站南广场
M105,荔园大厦
624,坂田交警中队
123,群星广场
234,南山党校
M311,木古地铁站
977,木古地铁站
高快巴士48,丹竹头地铁站
M314,盐田区政府(A站台)
606,公园路西一巷
M402,东门中①
M555,航苑大厦
72,侨香三道南
M379,宝华地铁站①
M402,建设路总站
M487,华侨城地铁站
303,沙尾
M426,坪山火车站南广场
M279,六和地铁站
328,坂田石化新村
M329,翠园中学东晓校区
高快巴士28,广中医深圳医院
E39,光明大街地铁站
M376,新安交警中队
M393,塘朗地铁站
M362,岗边村①
B971,长圳地铁站北
M495,碧头地铁站
M239,吉祥地铁站②
M347,沙尾
223,门诊部①
M360,大运中心体育馆
M313,碧海湾地铁站
61,丹竹头地铁站
358（快线）,龙城广场地铁站②
1,太宁路西
M341,二层公交站台
M533,坂田石化新村
M250,诺铂广场
M311,华南城地铁站
323,景新花园①
629,公园路西一巷
M133,皇岗创新实验学校
980,布吉中学
M572,富豪花园
B917B,民治地铁站
M249,灵芝地铁站
高专038,岗厦北地铁站①（北侧）
M395,灵芝公园北
978,坑梓街道办
高快巴士20,岗厦地铁站
44,梅林三村东
M566,星光之约
M352,一层公交站台
M417,翰岭地铁站
334,民乐地铁站3
M385,坂田石化新村
M246,新安交警中队
66,西丽社区②(往北)
M527,地面交通中心15号门外公交车上客区
M182,新安税务
839,木棉湾地铁站1
M363,岗厦北地铁站①（北侧）
M282,坂田北地铁站
982,坂田地铁站
高快巴士6,华强路地铁接驳站
M198,岗厦地铁站
369,南头古城
M343,西丽社区①(往南)
N24,侨香三道南
5,东门⑤
201,大新小学
M347,二层公交站台
M500,新洲村
M182,荔园大厦
M433,上沙村
M239,龙城广场地铁站②
M389,通新岭地铁站
NM479,坪山火车站南广场
M460,深圳石油大厦
M427,坑梓街道办
M403,田贝②
M547,大运地铁站
M347,向南东村
M448,深南香蜜立交①
M446,阳光天健城
M400,南山村
B968,东海实验小学
67,莲花中学
B683,深大地铁站
M546,坪山税务局
979,禾花地铁站
334,万科城①
369,草埔地铁站
B817,海月地铁站公交站
225,水贝地铁站
M322,龙岗智慧家园站
339,上沙村①
M205,黄贝岭地铁站①
M209,丽景城
M383,坂田石化新村
M296,坪山大道龙坪路口
108,华新村
204,岗厦北地铁站①（北侧）
高峰专线189,禾花地铁站
M105,市妇幼保健院红荔院区（注红荔路）
218,莲塘口岸②
M259,固戍地铁站
M518,灵芝地铁站
303,草埔地铁站
N3,东门中①
M565,大芬地铁站2
334,坂田北地铁站
B936,会展城地铁站临时站
B959,长圳地铁站
72,高新园地铁站
3,上海宾馆
M383,中级法院
13,群星广场
M200,深南科苑立交北
718,碧海湾地铁站
M347,新洲村
N481,群星广场
M393,华丰工业区公交站②
328,中海日辉台
高峰专线18,深南香蜜立交①
M198,富豪花园
M448,翰岭地铁站
8,深圳东站①
113,蛇口港地铁站
67,桃源村
939,坪山中心公园
P130,市总工会
75,莲花中学
M429,卓越后海中心
M375,翻身地铁站
B641,碧海湾地铁站
M296,深圳高级中学东校区
204,南航公司
M558,华丰工业区公交站①
M172,沙尾
M229,华乐社区
23,爱华市场公交站
高峰专线221,招商银行大厦③
M200,泰华阳光海①
M158,桂湾地铁站
339,高训大厦（福强路东侧）
高峰专线64,坪山大道龙坪路口
321,华为单身公寓北
大亚湾268A线,沙田地铁站2
M530,科技园①
337,赤尾天桥
大鹏假日专线4,上海宾馆
M224,木棉湾地铁站1
M312,上梅林公交总站
M282,星光之约
810,东升学校
82,火车站
M313,海滨实验小学
M519,沙尾
M35,六约地铁站
62,翠园中学东晓校区
316,官田地铁站
M267,草埔地铁站
B611,农林地铁站
B949,光明大街地铁站
高快巴士29,广中医深圳医院
M573,禾花地铁站
M300,木古地铁站
307,田贝②
111,体育馆①
64,翠园中学东晓校区
M491,星光之约
M266,横岗地铁站①
P320,洪湖公园②
B729,香域中央花园
M355,高新南站
23,水贝地铁站
M447,宝龙地铁站
M132,侨城东地铁站
M311,石芽岭地铁站①
323,华侨城地铁站
377,上沙村①
M167,荷坳地铁站
964,江岭路口
63,福民地铁站
M309,城市山海云汇
M414,上水径
M229,深坑工业区站
M322,爱联地铁站
M361,坑梓地铁站
高快巴士12（开往香梅北总站）,莲塘口岸①
26,桃源村
高峰专线56,龙井地铁站
B945,赤湾地铁站
M213,翠北小学
M376,西岸花园
M313,上川地铁站
M490,松岗地铁换乘站1
225,群星广场
M555,少儿图书馆（注红荔路）
216,福田农批市场
坪梅假日专线,锦龙地铁站
977,木棉湾地铁站1
高快巴士60,上海宾馆东
M389,彩福大厦
B720,红花山地铁站
978,坪山规自局
M150,健康花城
358,盐田区政府(A站台)
211,东门③
M280,双龙地铁站①
603,宝田一路地铁站
M222,侨香地铁站
939,坪山税务局
57,翠竹苑
中旅东部快线（K528）坑梓线,火车站
M392,景新花园①
